2026/08/18 20:47:49 Database: Menggunakan password terenkripsi (DB_PASSWORD_ENCRYPTED).
2026/08/18 20:47:49 Database TRACE_LEVEL=1: API Request Log Only (SQL Logging OFF)
2026/08/18 20:47:49 Database connection successfully established with optimized Connection Pool (Max 200 Conns).
=================================================================
🚀 LMS BACKEND v2.0 - SECURITY & RBAC ENFORCEMENT ACTIVE 🚀
=================================================================
2026/08/18 20:47:49 SECURITY CHECK: RBACRoleMenuMiddleware and AuthMiddleware loaded successfully.
2026/08/18 20:47:49 [LMS-API-LOG] Gin HTTP logger active (TRACE_LEVEL=1)
2026/08/18 20:47:49 [PRODUCT-CACHE] Cache diperbarui: 4 produk dimuat.
2026/08/18 20:47:49 Starting HTTPS server on port 8086 using cert ./sertifikat/lims.local+2.pem and key ./sertifikat/lims.local+2-key.pem
2026/08/18 20:47:49 [PPROF] Starting Go profiler server on http://localhost:6060/debug/pprof
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,161 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,060 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,057 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,056 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:05 | 127.0.0.1 | 200 |        0,214 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,036 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,071 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:05 | 127.0.0.1 | 200 |        0,055 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,048 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,056 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,046 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,062 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,080 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,152 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:05 | 127.0.0.1 | 200 |        0,143 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        3,589 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        9,270 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,081 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,048 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,026 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,046 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,023 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,705 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,127 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,097 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,056 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,051 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,313 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,765 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,088 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:05 | 127.0.0.1 | 200 |        0,131 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        9,545 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        2,176 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,049 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,149 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,050 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,197 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:05 | 127.0.0.1 | 200 |        0,109 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,023 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,048 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,163 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,084 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:05 | 127.0.0.1 | 200 |        0,101 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,028 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,422 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,051 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,029 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,227 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,046 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:05 | 127.0.0.1 | 200 |        0,144 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,060 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,069 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,046 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,028 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,026 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,027 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,026 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,263 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:05 | 127.0.0.1 | 200 |        0,105 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:05 | 127.0.0.1 | 200 |        0,129 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,114 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,310 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,038 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,045 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,020 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,037 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,173 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,040 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,194 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,033 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,056 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,065 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:05 | 127.0.0.1 | 200 |        0,091 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,086 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,216 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,082 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,042 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,044 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,079 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,056 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,108 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,896 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,047 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,051 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,078 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,031 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,048 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,159 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:05 | 127.0.0.1 | 200 |        0,089 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,242 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,026 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,069 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:05 | 127.0.0.1 | 200 |        0,122 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,099 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,062 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,046 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,075 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,089 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:03 | 127.0.0.1 | 200 |        0,040 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,037 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,152 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,053 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,093 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:05 | 127.0.0.1 | 200 |        0,109 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,076 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,079 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,051 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,064 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,128 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,027 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,021 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,034 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        5,629 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,046 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,025 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        4,140 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,075 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,251 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,057 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,044 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,070 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,085 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:05 | 127.0.0.1 | 200 |        0,128 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,105 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,048 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        5,414 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:05 | 127.0.0.1 | 200 |        0,088 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,165 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,266 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:05 | 127.0.0.1 | 200 |        0,101 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,077 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        5,152 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:05 | 127.0.0.1 | 200 |        0,111 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        3,343 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,252 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:05 | 127.0.0.1 | 200 |        0,094 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        1,350 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,047 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,049 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,044 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,203 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,665 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        5,246 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,074 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |      129,993 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,049 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |      132,749 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,084 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,309 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,046 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,229 | <300ms | GET /api/products
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,058 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,069 | <300ms | GET /api/health
[LMS-API-LOG] 2026/08/18 - 20:48:04 | 127.0.0.1 | 200 |        0,041 | <300ms | GET /api/health
