2026-08-24 06:14:20, 200, 100001, 5, 2026-08-24, 125000, 1, SUBMITTED, SYSTEM_AUTO, ***POTENTIAL RISK***
2026-08-24 06:14:20, 200, 100001, 5, 2026-08-24, 125000, 1, APPROVED, SYSTEM_AUTO, ***POTENTIAL RISK***
2026-08-24 06:14:21, 200, 100001, 5, 2026-08-24, 125000, 1, DISBURSED, SYSTEM_AUTO, ***POTENTIAL RISK***
2026-08-24 06:16:33, 200, 100001, 0, 2026-08-24, 126250, 0, MANUAL_REPAYMENT, 100001, NONE
2026-08-24 06:34:31, 200, 100001, 5, 2026-08-24, 115000, 1, SUBMITTED, SYSTEM_AUTO, ***POTENTIAL RISK***
2026-08-24 06:34:31, 200, 100001, 5, 2026-08-24, 115000, 1, APPROVED, SYSTEM_AUTO, ***POTENTIAL RISK***
2026-08-24 06:34:31, 200, 100001, 5, 2026-08-24, 115000, 1, DISBURSED, SYSTEM_AUTO, ***POTENTIAL RISK***
2026-08-24 06:40:04, 200, 100001, 5, 2026-08-24, 110000, 1, SUBMITTED, nur, NONE
2026-08-24 06:40:04, 200, 100001, 5, 2026-08-24, 110000, 1, APPROVED, SYSTEM_AUTO, ***POTENTIAL RISK***
2026-08-24 06:40:04, 200, 100001, 5, 2026-08-24, 110000, 1, DISBURSED, SYSTEM_AUTO, ***POTENTIAL RISK***
2026-08-24 06:48:35, 200, 100001, 5, 2026-08-24, 80000, 1, SUBMITTED, nur, NONE
2026-08-24 06:48:35, 200, 100001, 5, 2026-08-24, 80000, 1, APPROVED, SYSTEM_AUTO, ***POTENTIAL RISK***
2026-08-24 06:48:35, 200, 100001, 5, 2026-08-24, 80000, 1, DISBURSED, SYSTEM_AUTO, ***POTENTIAL RISK***
2026-08-24 07:42:19, 200, 100002, 5, 2026-08-24, 115000, 1, SUBMITTED, 200002, NONE
2026-08-24 07:42:19, 200, 100002, 5, 2026-08-24, 115000, 1, APPROVED, SYSTEM_AUTO, ***POTENTIAL RISK***
2026-08-24 07:42:19, 200, 100002, 5, 2026-08-24, 115000, 1, DISBURSED, SYSTEM_AUTO, ***POTENTIAL RISK***
2026-08-24 09:03:36, 1787537016734317304, 200, 100001, 8, 2026-08-24, 80000, 1, SUBMITTED, nur, Administrator, ***POTENTIAL RISK***
2026-08-24 10:25:08, 1787541908779150484, 200, 100001, 8, 2026-08-24, 94000, 1, APPROVED, SYSTEM_AUTO, System Automation, 
2026-08-24 10:25:08, 1787541908779150484, 200, 100001, 8, 2026-08-24, 94000, 1, DISBURSED, SYSTEM_AUTO, System Automation, 
2026-08-24 10:32:12, 1787542332940894701, 200, 100001, 8, 2026-08-24, 93000, 1, SUBMITTED, nur, Administrator, ***POTENTIAL RISK***
2026-08-24 10:32:13, 1787542332940894701, 200, 100001, 8, 2026-08-24, 93000, 1, APPROVED, SYSTEM_AUTO, System Automation, 
2026-08-24 10:32:13, 1787542332940894701, 200, 100001, 8, 2026-08-24, 93000, 1, DISBURSED, SYSTEM_AUTO, System Automation, 
2026-08-24 10:38:44, 1787542724662848034, 200, 100001, 8, 2026-08-24, 91000, 1, SUBMITTED, nur, Administrator, ***POTENTIAL RISK***
2026-08-24 10:38:44, 1787542724662848034, 200, 100001, 8, 2026-08-24, 91000, 1, APPROVED, SYSTEM_AUTO, System Automation, 
2026-08-24 10:38:44, 1787542724662848034, 200, 100001, 8, 2026-08-24, 91000, 1, DISBURSED, SYSTEM_AUTO, System Automation, 
2026-08-24 10:45:53, 1787543153708133712, 200, 100001, 6, 2026-08-24, 89000, 1, SUBMITTED, nur, Administrator, ***POTENTIAL RISK***
2026-08-24 10:45:53, 1787543153708133712, 200, 100001, 6, 2026-08-24, 89000, 1, APPROVED, SYSTEM_AUTO, System Automation, 
2026-08-24 10:45:53, 1787543153708133712, 200, 100001, 6, 2026-08-24, 89000, 1, DISBURSED, SYSTEM_AUTO, System Automation, 
2026-08-24 11:09:36, 1787544576232671962, 200, 100006, 6, 2026-08-24, 80000, 1, SUBMITTED, catur, Anggota, 
2026-08-24 11:09:36, 1787544576232671962, 200, 100006, 6, 2026-08-24, 80000, 1, APPROVED, SYSTEM_AUTO, System Automation, 
2026-08-24 11:09:36, 1787544576232671962, 200, 100006, 6, 2026-08-24, 80000, 1, DISBURSED, SYSTEM_AUTO, System Automation, 
2026-08-24 11:17:33, 1787544576356, 200, 100006, 0, 2026-08-24, 80000, 0, MANUAL_REPAYMENT, 100001, User, 
2026-08-24 11:40:21, 1787540052753, 200, 100001, 0, 2026-08-24, 99000, 0, MANUAL_REPAYMENT, 100001, User, 
2026-08-24 11:44:36, 1787540425705, 200, 100001, 0, 2026-08-24, 97000, 0, MANUAL_REPAYMENT, 100001, User, 
2026-08-25 19:04:09, 1787659449060091537, 200, 100001, 8, 2026-08-25, 100000, 1, SUBMITTED, 085882500073, Anggota, 
2026-08-25 19:04:09, 1787659449060091537, 200, 100001, 8, 2026-08-25, 100000, 1, APPROVED, SYSTEM_AUTO, System Automation, 
2026-08-25 19:04:09, 1787659449060091537, 200, 100001, 8, 2026-08-25, 100000, 1, DISBURSED, SYSTEM_AUTO, System Automation, 
2026-08-27 06:55:27, 1787788527102984502, 200, 100001, 8, 2026-08-27, 100000, 1, SUBMITTED, 085882500073, Anggota, 
2026-08-27 06:55:27, 1787788527102984502, 200, 100001, 8, 2026-08-27, 100000, 1, APPROVED, SYSTEM_AUTO, System Automation, 
2026-08-27 06:55:27, 1787788527102984502, 200, 100001, 8, 2026-08-27, 100000, 1, DISBURSED, SYSTEM_AUTO, System Automation, 
2026-08-27 13:44:01, 1787813041540992983, 200, 100001, 8, 2026-08-27, 80000, 1, SUBMITTED, 085882500073, Anggota, 
2026-08-27 13:44:01, 1787813041540992983, 200, 100001, 8, 2026-08-27, 80000, 1, APPROVED, SYSTEM_AUTO, System Automation, 
2026-08-27 13:44:01, 1787813041540992983, 200, 100001, 8, 2026-08-27, 80000, 1, DISBURSED, SYSTEM_AUTO, System Automation, 
2026-08-27 13:59:20, 1787813959953032860, 200, 100001, 8, 2026-08-27, 75000, 1, SUBMITTED, 085882500073, Anggota, 
2026-08-27 13:59:20, 1787813959953032860, 200, 100001, 8, 2026-08-27, 75000, 1, APPROVED, SYSTEM_AUTO, System Automation, 
2026-08-27 13:59:20, 1787813959953032860, 200, 100001, 8, 2026-08-27, 75000, 1, DISBURSED, SYSTEM_AUTO, System Automation, 
